title,author,secondary_author,illustrator,translators,series,lc_bib,naf_label,naf_lccn,genre,genre_uris,subject,subject_uris,lccn,oclc,isbn,date,creator_has_awards,creator_wiki,state,date_ban,ban_status,challenge_origin,district,marc_file
"Liar, Temptress, Soldier, Spy: Four Women Undercover in the Civil War","Abbott, Karen",,,,,18122562,"Kahler, Abbott, 1973-",no2007076020,Biographies,http://id.loc.gov/authorities/genreForms/gf2014026049,"United States--History--Civil War, 1861-1865--Biography|United States--History--Civil War, 1861-1865--Secret service|Women spies--United States--Biography|United States--History--Civil War, 1861-1865--Participation, Female|United States--History--Civil War, 1861-1865--Women|Women spies--Confederate States of America--Biography",http://id.loc.gov/authorities/subjects/sh85140214|http://id.loc.gov/authorities/subjects/sh99001237|http://id.loc.gov/authorities/subjects/sh85140255|http://id.loc.gov/authorities/subjects/sh85140282|http://id.loc.gov/rwo/agents/n78095330-781|http://id.loc.gov/rwo/agents/n79063906-781|http://id.loc.gov/authorities/subjects/sh85140272|http://id.loc.gov/authorities/subjects/sh85147715,  2014013602,,9780062092892,2014,0,Q6369461,Texas,October 2022,Banned Pending Investigation,Administration,Frisco Independent School District,https://raw.githubusercontent.com/thisismattmiller/book-bans-2023/refs/heads/main/data/marc/18122562.xml
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,21740955,"Àbíké-Íyímídé, Faridah",no2021062204,School fiction|Fiction|Social problem fiction|Novels,http://id.loc.gov/authorities/genreForms/gf2015026020|http://id.loc.gov/authorities/genreForms/gf2014026339|http://id.loc.gov/authorities/genreForms/gf2020026014|http://id.loc.gov/authorities/genreForms/gf2017026040,Schools--Fiction|Bullies and bullying--Fiction|Racism in schools--Fiction|High school students--Fiction|Doxing--Fiction|Bullying--Fiction|African Americans--Fiction|Private schools--Fiction|Racism against Black people--Fiction|African American teenagers--Fiction|Racism--Fiction|Boarding schools--Fiction|Cyberbullying--Fiction,http://id.loc.gov/authorities/subjects/sh2021004146|http://id.loc.gov/authorities/childrensSubjects/sj96006090|http://id.loc.gov/authorities/subjects/sh89006054|http://id.loc.gov/authorities/childrensSubjects/sj2021051048|http://id.loc.gov/authorities/subjects/sh2008105595|http://id.loc.gov/authorities/subjects/sh2010106862|http://id.loc.gov/authorities/subjects/sh2007102067|http://id.loc.gov/authorities/subjects/sh2020000689|http://id.loc.gov/authorities/subjects/sh2020006332|http://id.loc.gov/authorities/childrensSubjects/sj2021050654|http://id.loc.gov/authorities/childrensSubjects/sj2021050907|http://id.loc.gov/authorities/childrensSubjects/sj2022050119|http://id.loc.gov/authorities/subjects/sh99001562|http://id.loc.gov/authorities/subjects/sh2009113957|http://id.loc.gov/authorities/subjects/sh2006004667|http://id.loc.gov/authorities/childrensSubjects/sj2022050288|http://id.loc.gov/authorities/childrensSubjects/sj2020050019,  2020919293,,9781250800817,2021,0,,Florida,February 2023,Banned from Libraries and Classrooms,Formal Challenge,Bay District Schools,https://raw.githubusercontent.com/thisismattmiller/book-bans-2023/refs/heads/main/data/marc/21740955.xml
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,21740955,"Àbíké-Íyímídé, Faridah",no2021062204,School fiction|Fiction|Social problem fiction|Novels,http://id.loc.gov/authorities/genreForms/gf2015026020|http://id.loc.gov/authorities/genreForms/gf2014026339|http://id.loc.gov/authorities/genreForms/gf2020026014|http://id.loc.gov/authorities/genreForms/gf2017026040,Schools--Fiction|Bullies and bullying--Fiction|Racism in schools--Fiction|High school students--Fiction|Doxing--Fiction|Bullying--Fiction|African Americans--Fiction|Private schools--Fiction|Racism against Black people--Fiction|African American teenagers--Fiction|Racism--Fiction|Boarding schools--Fiction|Cyberbullying--Fiction,http://id.loc.gov/authorities/subjects/sh2021004146|http://id.loc.gov/authorities/childrensSubjects/sj96006090|http://id.loc.gov/authorities/subjects/sh89006054|http://id.loc.gov/authorities/childrensSubjects/sj2021051048|http://id.loc.gov/authorities/subjects/sh2008105595|http://id.loc.gov/authorities/subjects/sh2010106862|http://id.loc.gov/authorities/subjects/sh2007102067|http://id.loc.gov/authorities/subjects/sh2020000689|http://id.loc.gov/authorities/subjects/sh2020006332|http://id.loc.gov/authorities/childrensSubjects/sj2021050654|http://id.loc.gov/authorities/childrensSubjects/sj2021050907|http://id.loc.gov/authorities/childrensSubjects/sj2022050119|http://id.loc.gov/authorities/subjects/sh99001562|http://id.loc.gov/authorities/subjects/sh2009113957|http://id.loc.gov/authorities/subjects/sh2006004667|http://id.loc.gov/authorities/childrensSubjects/sj2022050288|http://id.loc.gov/authorities/childrensSubjects/sj2020050019,  2020919293,,9781250800817,2021,0,,Florida,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,Clay County School District,https://raw.githubusercontent.com/thisismattmiller/book-bans-2023/refs/heads/main/data/marc/21740955.xml
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,21740955,"Àbíké-Íyímídé, Faridah",no2021062204,School fiction|Fiction|Social problem fiction|Novels,http://id.loc.gov/authorities/genreForms/gf2015026020|http://id.loc.gov/authorities/genreForms/gf2014026339|http://id.loc.gov/authorities/genreForms/gf2020026014|http://id.loc.gov/authorities/genreForms/gf2017026040,Schools--Fiction|Bullies and bullying--Fiction|Racism in schools--Fiction|High school students--Fiction|Doxing--Fiction|Bullying--Fiction|African Americans--Fiction|Private schools--Fiction|Racism against Black people--Fiction|African American teenagers--Fiction|Racism--Fiction|Boarding schools--Fiction|Cyberbullying--Fiction,http://id.loc.gov/authorities/subjects/sh2021004146|http://id.loc.gov/authorities/childrensSubjects/sj96006090|http://id.loc.gov/authorities/subjects/sh89006054|http://id.loc.gov/authorities/childrensSubjects/sj2021051048|http://id.loc.gov/authorities/subjects/sh2008105595|http://id.loc.gov/authorities/subjects/sh2010106862|http://id.loc.gov/authorities/subjects/sh2007102067|http://id.loc.gov/authorities/subjects/sh2020000689|http://id.loc.gov/authorities/subjects/sh2020006332|http://id.loc.gov/authorities/childrensSubjects/sj2021050654|http://id.loc.gov/authorities/childrensSubjects/sj2021050907|http://id.loc.gov/authorities/childrensSubjects/sj2022050119|http://id.loc.gov/authorities/subjects/sh99001562|http://id.loc.gov/authorities/subjects/sh2009113957|http://id.loc.gov/authorities/subjects/sh2006004667|http://id.loc.gov/authorities/childrensSubjects/sj2022050288|http://id.loc.gov/authorities/childrensSubjects/sj2020050019,  2020919293,,9781250800817,2021,0,,Florida,September 2022,Banned Pending Investigation,Formal Challenge,Escambia County Public Schools,https://raw.githubusercontent.com/thisismattmiller/book-bans-2023/refs/heads/main/data/marc/21740955.xml
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,21740955,"Àbíké-Íyímídé, Faridah",no2021062204,School fiction|Fiction|Social problem fiction|Novels,http://id.loc.gov/authorities/genreForms/gf2015026020|http://id.loc.gov/authorities/genreForms/gf2014026339|http://id.loc.gov/authorities/genreForms/gf2020026014|http://id.loc.gov/authorities/genreForms/gf2017026040,Schools--Fiction|Bullies and bullying--Fiction|Racism in schools--Fiction|High school students--Fiction|Doxing--Fiction|Bullying--Fiction|African Americans--Fiction|Private schools--Fiction|Racism against Black people--Fiction|African American teenagers--Fiction|Racism--Fiction|Boarding schools--Fiction|Cyberbullying--Fiction,http://id.loc.gov/authorities/subjects/sh2021004146|http://id.loc.gov/authorities/childrensSubjects/sj96006090|http://id.loc.gov/authorities/subjects/sh89006054|http://id.loc.gov/authorities/childrensSubjects/sj2021051048|http://id.loc.gov/authorities/subjects/sh2008105595|http://id.loc.gov/authorities/subjects/sh2010106862|http://id.loc.gov/authorities/subjects/sh2007102067|http://id.loc.gov/authorities/subjects/sh2020000689|http://id.loc.gov/authorities/subjects/sh2020006332|http://id.loc.gov/authorities/childrensSubjects/sj2021050654|http://id.loc.gov/authorities/childrensSubjects/sj2021050907|http://id.loc.gov/authorities/childrensSubjects/sj2022050119|http://id.loc.gov/authorities/subjects/sh99001562|http://id.loc.gov/authorities/subjects/sh2009113957|http://id.loc.gov/authorities/subjects/sh2006004667|http://id.loc.gov/authorities/childrensSubjects/sj2022050288|http://id.loc.gov/authorities/childrensSubjects/sj2020050019,  2020919293,,9781250800817,2021,0,,Florida,October 2022,Banned from Libraries and Classrooms,Formal Challenge,Flagler Schools,https://raw.githubusercontent.com/thisismattmiller/book-bans-2023/refs/heads/main/data/marc/21740955.xml
Clap When You Land,"Acevedo, Elizabeth",,,,,21441264,"Acevedo, Elizabeth",no2011081225,Fiction,http://id.loc.gov/authorities/genreForms/gf2014026339,Novels in verse|Parents--Death--Juvenile fiction|Grief--Juvenile fiction|Families--Juvenile fiction|Aircraft accidents--Juvenile fiction,http://id.loc.gov/authorities/subjects/sh85098016|http://id.loc.gov/authorities/subjects/sh99001687|http://id.loc.gov/authorities/subjects/sh99002023|http://id.loc.gov/authorities/subjects/sh85001323|http://id.loc.gov/authorities/subjects/sh2002009675|http://id.loc.gov/authorities/subjects/sh2008103523|http://id.loc.gov/authorities/subjects/sh2009126100,  2020933571,,9780062882769,2020,6,Q56811491,Utah,AY 2022-2023,Banned from Libraries,Formal Challenge,Nebo School District,https://raw.githubusercontent.com/thisismattmiller/book-bans-2023/refs/heads/main/data/marc/21441264.xml
The Poet X,"Acevedo, Elizabeth",,,,,20798480,"Acevedo, Elizabeth",no2011081225,Fiction,http://id.loc.gov/authorities/genreForms/gf2014026339,"Large type books|Schools--Fiction|Harlem (New York, N.Y.)--Fiction|Novels in verse|New York (N.Y.)--Fiction|Self-esteem--Fiction|Poetry slams--Fiction|Dominican Americans--Fiction|Family life--Fiction|High schools--Fiction",http://id.loc.gov/authorities/childrensSubjects/sj96005444|http://id.loc.gov/authorities/childrensSubjects/sj2021050349|http://id.loc.gov/authorities/childrensSubjects/sj2021051311|http://id.loc.gov/authorities/childrensSubjects/sj96006090|http://id.loc.gov/rwo/agents/n79063979|http://id.loc.gov/rwo/agents/n79007751|http://id.loc.gov/authorities/childrensSubjects/sj2021052330|http://id.loc.gov/authorities/childrensSubjects/sj2021052328|http://id.loc.gov/authorities/childrensSubjects/sj2021052329|http://id.loc.gov/authorities/childrensSubjects/sj2021050350|http://id.loc.gov/authorities/childrensSubjects/sj2020050019,  2018060742,,9781432864583,2019,6,Q56811491,Florida,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,Clay County School District,
The Poet X,"Acevedo, Elizabeth",,,,,20798480,"Acevedo, Elizabeth",no2011081225,Fiction,http://id.loc.gov/authorities/genreForms/gf2014026339,"Large type books|Schools--Fiction|Harlem (New York, N.Y.)--Fiction|Novels in verse|New York (N.Y.)--Fiction|Self-esteem--Fiction|Poetry slams--Fiction|Dominican Americans--Fiction|Family life--Fiction|High schools--Fiction",http://id.loc.gov/authorities/childrensSubjects/sj96005444|http://id.loc.gov/authorities/childrensSubjects/sj2021050349|http://id.loc.gov/authorities/childrensSubjects/sj2021051311|http://id.loc.gov/authorities/childrensSubjects/sj96006090|http://id.loc.gov/rwo/agents/n79063979|http://id.loc.gov/rwo/agents/n79007751|http://id.loc.gov/authorities/childrensSubjects/sj2021052330|http://id.loc.gov/authorities/childrensSubjects/sj2021052328|http://id.loc.gov/authorities/childrensSubjects/sj2021052329|http://id.loc.gov/authorities/childrensSubjects/sj2021050350|http://id.loc.gov/authorities/childrensSubjects/sj2020050019,  2018060742,,9781432864583,2019,6,Q56811491,Florida,September 2022,Banned Pending Investigation,Formal Challenge,Escambia County Public Schools,
The Poet X,"Acevedo, Elizabeth",,,,,20798480,"Acevedo, Elizabeth",no2011081225,Fiction,http://id.loc.gov/authorities/genreForms/gf2014026339,"Large type books|Schools--Fiction|Harlem (New York, N.Y.)--Fiction|Novels in verse|New York (N.Y.)--Fiction|Self-esteem--Fiction|Poetry slams--Fiction|Dominican Americans--Fiction|Family life--Fiction|High schools--Fiction",http://id.loc.gov/authorities/childrensSubjects/sj96005444|http://id.loc.gov/authorities/childrensSubjects/sj2021050349|http://id.loc.gov/authorities/childrensSubjects/sj2021051311|http://id.loc.gov/authorities/childrensSubjects/sj96006090|http://id.loc.gov/rwo/agents/n79063979|http://id.loc.gov/rwo/agents/n79007751|http://id.loc.gov/authorities/childrensSubjects/sj2021052330|http://id.loc.gov/authorities/childrensSubjects/sj2021052328|http://id.loc.gov/authorities/childrensSubjects/sj2021052329|http://id.loc.gov/authorities/childrensSubjects/sj2021050350|http://id.loc.gov/authorities/childrensSubjects/sj2020050019,  2018060742,,9781432864583,2019,6,Q56811491,Florida,March 2023,Banned from Libraries and Classrooms,Administration,School District of Hamilton County,
The Poet X,"Acevedo, Elizabeth",,,,,20798480,"Acevedo, Elizabeth",no2011081225,Fiction,http://id.loc.gov/authorities/genreForms/gf2014026339,"Large type books|Schools--Fiction|Harlem (New York, N.Y.)--Fiction|Novels in verse|New York (N.Y.)--Fiction|Self-esteem--Fiction|Poetry slams--Fiction|Dominican Americans--Fiction|Family life--Fiction|High schools--Fiction",http://id.loc.gov/authorities/childrensSubjects/sj96005444|http://id.loc.gov/authorities/childrensSubjects/sj2021050349|http://id.loc.gov/authorities/childrensSubjects/sj2021051311|http://id.loc.gov/authorities/childrensSubjects/sj96006090|http://id.loc.gov/rwo/agents/n79063979|http://id.loc.gov/rwo/agents/n79007751|http://id.loc.gov/authorities/childrensSubjects/sj2021052330|http://id.loc.gov/authorities/childrensSubjects/sj2021052328|http://id.loc.gov/authorities/childrensSubjects/sj2021052329|http://id.loc.gov/authorities/childrensSubjects/sj2021050350|http://id.loc.gov/authorities/childrensSubjects/sj2020050019,  2018060742,,9781432864583,2019,6,Q56811491,South Carolina,October 2022,Banned from Libraries,Informal Challenge,Beaufort County School District,
